,LocationName,zone,altitude,LAT,LON,X,Y
0,AJGR,2,627.8,47.33321,8.4803,243005,678731.4
1,BSCR,2,462.3,47.35581,8.43007,245468,674903.4
2,BUDF,10,490.2,47.3627,8.43311,246237.5,675123.8
3,KBRL,7,510.5,47.32582,8.53755,242242.3,683070.1
4,KTGM,2,530.3,47.3233401,8.5964219,242031,687523.9
5,RCTZ,7,440.9,47.434277,8.506933,254268,680591
6,SMHK,2,404.4,47.39441,8.44583,249775.3,676039.3
7,SZGL,2,391.9,47.405815,8.445361,251042,675987
8,ULGW,6,627.1,47.35748,8.46909,245692.4,677849
9,UTLI,10,863.6,47.351406,8.490318,245038.1952,679461.723
10,WMOO,4,526.3,47.33625,8.46195,243325,677340.6
11,WRTW,2,451.4,47.418366,8.6038439,252603,687928
12,WSUM,10,424.7,47.419728,8.430176,252574,674821
13,ZALL,5,422.7,47.3534,8.5241,245295.1,682010.7
14,ZAML,2,445.5,47.42409286,8.507077716,253136.2,680618
15,ZAZG,2,430.6,47.413577,8.57215,252035,685544
16,ZBLG,2,410.7,47.37893,8.51259,248121,681102.6
17,ZBRC,2,436,47.425955,8.542861,253380.5,683314.8
18,ZDLT,5,448.4,47.36582,8.5036,246653.9,680443.6
19,ZECB,2,406.8,47.3832001,8.5098643,248592.7,680890.3
20,ZFBL,5,443.4,47.42826,8.55042,253643.7,683881.2
21,ZFHB,8,518.5,47.395,8.55174,249948.4,684032.7
22,ZFRK,2,442,47.4097566,8.543918208,251580.9,683419.9
23,ZGHD,2,413.5,47.37044573,8.523255598,247188.9,681921
24,ZHBG,10,683.9,47.385994,8.568091,248965.021,685282.2053
25,ZHBR,2,615.8,47.38158,8.56605,248472.2,685135
26,ZHRG,3,410.5,47.3777734,8.51946,247999.3,681623.1
27,ZHRO,2,397.6,47.39394,8.48667,249762.8,679123.2
28,ZHRZ,3,429.5,47.40359619,8.58776414,250943.6,686738.9
29,ZLDW,5,405.9,47.34887,8.53629,244804.3,682938.6
30,ZLMT,14,407.8,47.36923,8.54328,247074.8,683435.2
31,ZNEU,2,404.7,47.384587,8.525195,248763,682045.7
32,ZORL,5,439.9,47.41477968,8.53791332,252132.9,682958.9
33,ZPFW,1,402.5,47.388045,8.513577,249135.5,681163
34,ZPRD,2,409.7,47.37022399,8.538994271,247180.8,683110
35,ZRDH,3,470,47.4185536,8.5117087,252525.1,680975.8
36,ZSBN,3,415.4,47.3858352,8.4779075,248853.4,678473.4
37,ZSCH,2,413.1,47.3709831,8.5235694,247248.9,681943.8
38,ZSEF,2,415.1,47.35717,8.55519,245746.4,684353.6
39,ZSTA,2,420.8,47.38674104,8.539785496,249017.9,683144
40,ZSTL,2,430.8,47.40834,8.56352,251444.4,684901.6
41,ZSZW,7,602.2,47.3824882,8.5908234,248600.4,687004.3
42,ZTBN,2,402.9,47.38972077,8.517753499,249326,681475.9
43,ZUBG,3,480.7,47.35286,8.51108,245220.9,681028.1
44,ZUE,3,408.8,47.37757607,8.530396999,247989,682448.4
45,ZWCH,2,450,47.34303,8.52706,244145.2,682250.6
